1,0,11,$0.1,18,
1,1,4,$14.63,56,
40,2,3,$3.66,42,
40,3,12,$0.22,25,
46,4,3,$0.70,59,
52,5,13,$10.19,50,
145,6,5,$5.73,59,
209,7,6,$13.36,18,
209,8,2,$14.53,59,
220,9,11,$13.51,14,
220,10,6,$2.54,51,
251,11,10,$0.63,28,
255,12,6,$1.49,32,
256,13,4,$9.63,47,
256,14,13,$14.72,31,
256,15,9,$14.1,65,
256,16,8,$1.29,26,
304,17,9,$1.1,20,
310,18,11,$4.69,45,
318,19,7,$2.13,49,
354,20,5,$8.66,50,
354,21,12,$10.1,32,
354,22,10,$6.87,44,
354,23,4,$11.10,23,
363,24,3,$2.77,38,
368,25,8,$13.45,28,
429,26,4,$6.5,62,
429,27,9,$4.34,40,
435,28,2,$11.96,65,
449,29,8,$4.6,33,
469,30,2,$8.79,49,
568,31,4,$8.30,46,
568,32,5,$8.88,45,
602,33,3,$4.14,27,
679,34,7,$9.71,61,
684,35,10,$14.91,24,
703,36,10,$10.69,34,
761,37,2,$7.5,69,
761,38,4,$5.19,69,
775,39,9,$14.93,61,
775,40,10,$1.16,36,
775,41,13,$2.66,61,
775,42,2,$7.35,50,
792,43,13,$2.81,66,
792,44,9,$0.67,26,
792,45,10,$3.0,47,
792,46,13,$0.94,33,
891,47,4,$7.64,52,
899,48,10,$0.41,20,
995,49,5,$12.20,33,
1006,50,5,$7.29,53,
1007,51,3,$8.8,17,
1032,52,6,$3.65,36,
1066,53,8,$11.79,16,
1124,54,6,$7.71,59,
1126,55,5,$7.84,20,
1154,56,2,$1.53,39,
1154,57,11,$4.41,15,
1228,58,4,$12.11,62,
1228,59,10,$5.85,13,
1278,60,3,$10.31,51,
1318,61,2,$1.10,56,
1318,62,5,$10.19,19,
1318,63,11,$9.92,68,
1318,64,11,$2.91,19,
1323,65,10,$5.59,28,
1323,66,2,$13.78,20,
1326,67,10,$8.58,66,
1327,68,12,$6.55,34,
1327,69,10,$10.56,40,
1327,70,9,$2.68,16,
1376,71,7,$10.9,69,
1376,72,3,$0.6,33,
1376,73,9,$9.84,63,
1376,74,3,$11.15,21,
1426,75,12,$8.54,53,
1426,76,12,$4.63,30,
1484,77,4,$4.84,56,
1486,78,10,$2.30,19,
1492,79,5,$10.21,49,
1497,80,9,$9.93,32,
1497,81,9,$7.79,63,
1497,82,3,$11.64,64,
1596,83,8,$8.61,15,
1596,84,8,$4.76,11,
1597,85,9,$2.12,49,
1676,86,8,$11.34,59,
1704,87,8,$2.72,32,
1711,88,11,$10.57,33,
1711,89,11,$14.36,45,
1712,90,10,$4.71,24,
1712,91,10,$11.11,54,
1719,92,3,$9.58,17,
1719,93,6,$8.21,66,
1725,94,7,$11.38,17,
1729,95,6,$8.12,46,
1755,96,10,$8.33,19,
1845,97,6,$8.33,59,
1845,98,11,$5.31,37,
1849,99,10,$14.59,69,
1858,100,11,$13.70,34,
1862,101,8,$10.50,52,
1945,102,8,$11.20,56,
2000,103,9,$6.34,29,
2007,104,3,$14.0,15,
2008,105,10,$10.48,56,
2009,106,4,$3.58,65,
2088,107,10,$0.44,27,
2088,108,3,$4.38,28,
2112,109,6,$10.97,36,
2119,110,11,$5.33,21,
2119,111,13,$0.73,24,
2119,112,8,$13.23,31,
2119,113,6,$12.19,44,
2180,114,11,$14.38,38,
2180,115,9,$6.15,21,
2180,116,6,$3.42,56,
2204,117,2,$14.87,44,
2217,118,13,$6.95,68,
2222,119,11,$2.13,17,
2285,120,13,$2.33,57,
2285,121,6,$2.50,68,
2292,122,11,$12.31,44,
2292,123,13,$2.95,21,
2301,124,9,$4.75,63,
2301,125,11,$3.2,23,
2396,126,13,$12.30,42,
2472,127,7,$3.10,53,
2480,128,10,$6.25,18,
2480,129,7,$11.33,15,
2524,130,4,$5.39,50,
2524,131,2,$8.33,65,
2595,132,3,$9.52,27,
2595,133,10,$7.98,21,
2595,134,10,$3.0,31,
2603,135,8,$6.5,34,
2666,136,10,$6.46,49,
2676,137,11,$14.60,17,
2699,138,11,$10.59,29,
2699,139,11,$2.48,28,
2701,140,9,$12.92,25,
2707,141,11,$4.97,30,
2707,142,5,$12.2,61,
2716,143,3,$2.30,59,
2719,144,2,$3.36,50,
2719,145,4,$3.23,32,
2720,146,5,$3.61,12,
2721,147,5,$14.60,59,
2723,148,6,$10.35,29,
2732,149,10,$1.29,47,
2804,150,5,$5.53,24,
2824,151,2,$0.20,42,
2824,152,13,$6.7,44,
2824,153,6,$14.96,12,
2824,154,10,$5.28,18,
2824,155,9,$12.84,18,
2824,156,10,$7.71,56,
2824,157,11,$6.18,29,
2824,158,9,$13.56,69,
2824,159,7,$5.24,67,
2833,160,5,$14.32,52,
2833,161,7,$9.81,25,
2872,162,11,$14.79,16,
2872,163,12,$6.15,45,
2872,164,6,$9.5,35,
2873,165,12,$6.9,20,
2937,166,5,$12.6,58,
2937,167,13,$10.65,59,
2938,168,6,$5.1,57,
2965,169,2,$7.4,34,
2965,170,13,$7.49,15,
3008,171,9,$6.57,68,
3008,172,4,$1.88,26,
3017,173,11,$11.68,47,
3017,174,12,$4.85,38,
3026,175,3,$13.25,56,
3026,176,13,$6.17,26,
3026,177,11,$8.62,61,
3026,178,5,$2.34,26,
3054,179,7,$3.82,42,
3062,180,9,$8.57,36,
3144,181,8,$8.89,56,
3147,182,4,$13.19,64,
3211,183,12,$14.90,40,
3298,184,8,$7.28,61,
3300,185,11,$3.43,64,
3313,186,7,$8.6,43,
3385,187,8,$13.47,34,
3393,188,7,$9.46,49,
3398,189,8,$5.40,18,
3406,190,2,$3.86,47,
3413,191,9,$12.55,36,
3419,192,12,$7.44,40,
3443,193,3,$10.28,65,
3497,194,4,$12.4,20,
3563,195,12,$3.57,43,
3581,196,11,$4.96,23,
3581,197,9,$3.92,50,
3600,198,3,$12.5,35,
3664,199,4,$7.68,57,
3762,200,3,$8.30,12,
3767,201,8,$5.1,39,
3773,202,10,$2.4,21,
3775,203,11,$14.7,54,
3775,204,4,$13.15,14,
3776,205,11,$4.9,35,
3783,206,13,$0.17,23,
3784,207,11,$5.70,17,
3806,208,2,$14.85,25,
3806,209,3,$12.84,35,
3810,210,11,$13.88,53,
3810,211,6,$8.80,45,
3883,212,6,$14.8,59,
3885,213,8,$7.37,26,
3886,214,9,$8.51,29,
3886,215,2,$2.28,69,
3886,216,7,$9.97,52,
3893,217,4,$1.71,37,
3893,218,4,$14.85,34,
3894,219,10,$6.19,29,
3894,220,4,$1.5,12,
3894,221,12,$8.79,43,
3894,222,13,$7.6,30,
3894,223,11,$3.96,45,
3894,224,6,$10.7,25,
3897,225,9,$5.36,60,
3902,226,3,$12.27,54,
3999,227,10,$2.68,58,
3999,228,5,$1.56,22,
4082,229,7,$1.29,32,
4082,230,3,$1.40,27,
4115,231,4,$2.4,54,
4115,232,8,$1.56,56,
4118,233,2,$13.52,69,
4123,234,13,$14.29,43,
4123,235,4,$6.14,40,
4170,236,4,$1.70,60,
4170,237,2,$5.95,34,
4173,238,11,$12.89,62,
4173,239,6,$3.15,18,
4173,240,12,$14.68,68,
4206,241,11,$3.50,54,
4207,242,13,$11.22,18,
4207,243,3,$9.36,19,
4212,244,10,$13.6,14,
4259,245,9,$9.52,42,
4259,246,11,$9.46,29,
4306,247,2,$9.61,14,
4350,248,13,$2.26,11,
4353,249,3,$6.32,11,
4354,250,6,$1.32,47,
4354,251,13,$8.87,38,
4354,252,12,$12.60,40,
4365,253,13,$12.27,48,
4365,254,13,$10.77,44,
4371,255,9,$11.8,21,
4380,256,7,$14.87,36,
4421,257,5,$11.83,34,
4421,258,10,$6.14,44,
4421,259,10,$8.75,13,
4421,260,13,$14.30,16,
4472,261,7,$0.41,59,
4472,262,6,$8.20,31,
4535,263,2,$5.37,14,
4544,264,2,$7.16,34,
4612,265,13,$3.97,65,
4618,266,5,$3.36,18,
4625,267,4,$7.9,26,
4625,268,10,$2.69,37,
4634,269,2,$5.10,24,
4715,270,5,$9.94,17,
4771,271,7,$1.38,38,
4771,272,7,$8.49,22,
4772,273,10,$13.0,52,
4779,274,10,$5.52,19,
4783,275,10,$14.77,68,
4834,276,11,$10.53,22,
4834,277,8,$11.20,48,
4838,278,12,$13.20,11,
4926,279,10,$4.37,40,
4930,280,7,$14.3,15,
4932,281,6,$1.60,30,
4932,282,3,$4.22,13,
5022,283,2,$5.53,17,
5101,284,10,$3.45,27,
5104,285,4,$7.12,17,
5111,286,4,$4.45,30,
5127,287,11,$0.71,31,
5127,288,10,$13.97,48,
5212,289,5,$1.51,19,
5296,290,12,$14.17,42,
5364,291,6,$8.99,68,
5364,292,3,$5.33,53,
5366,293,10,$7.19,22,
5423,294,10,$9.50,48,
5439,295,7,$13.84,69,
5502,296,10,$12.71,37,
5598,297,4,$7.24,45,
5640,298,12,$4.31,23,
5677,299,3,$14.66,46,
5725,300,3,$10.6,21,
5728,301,5,$14.66,44,
5730,302,3,$12.37,40,
5735,303,3,$12.49,20,
5737,304,13,$14.77,19,
5737,305,11,$3.96,25,
5737,306,3,$10.27,66,
5739,307,11,$6.3,14,
5739,308,5,$14.42,60,
5742,309,12,$1.62,31,
5743,310,10,$5.69,10,
5767,311,10,$10.73,64,
5770,312,5,$12.51,52,
5770,313,2,$13.28,28,
5770,314,4,$4.19,27,
5770,315,4,$7.5,24,
5787,316,13,$4.4,38,
5795,317,5,$2.46,28,
5795,318,5,$10.28,35,
5798,319,9,$2.82,50,
5798,320,9,$11.79,69,
5806,321,11,$4.28,33,
5806,322,6,$2.53,63,
5809,323,8,$8.81,56,
5809,324,2,$1.18,27,
5809,325,6,$6.18,16,
5809,326,8,$1.31,57,
5809,327,12,$12.5,27,
5809,328,7,$13.77,30,
